id,type,status,tiny_link,title,content,is_internal
538575113,page,current,/x/CQEaI,Big Data and Data Science,"Welcome to your new documentation space! Use it to organize any information that people need to find and reference easily , like your organisation's travel policies, design guidelines, or marketing assets. To start, you might want to: Customise this overview using the edit icon at the top right of this page. Create a new page by clicking the + in the space sidebar. Tip : Add the label featured to any pages you want to appear in the Featured pages list below. Search this space Featured Pages false BDDS false title page label = ""featured"" and type = ""page"" and space = ""BDDS"" featured Recently Updated page 5 true concise NEED INSPIRATION? Check out our guide on building better documentation to learn best practices for creating and organizing documents in Confluence.",False
539426913,page,current,/x/YQAnI,Setting up Virtual Network,"A virtual network is an IP address space where all the Big Data and Data Science infrastructure pieces will reside and be part of a single subnet. Follow the below steps to create a new Virtual Network as the second step of provisioning a new Big Data and Data Science environment. Login to the Azure Portal. Click ""All Services"" => ""Networking"" => ""Virtual networks"". Click the ""Add"" option. Provide the following information for the virtual network. A meaningful ""Name"". Provide an ""Address space"". Ensure the Address space provides enough subnetting options for your subnet requirements. Select ""Subscription"". Select the ""Resource Group"" (i.e. the resource group created under section ). Select the ""Location"" (i.e. same location as you created the resource group in). Provide a ""Subnet Name"" for the subnet where all HDInsight cluster resources will be assigned to. Provide the ""Subnet Address range"". Select ""Basic"" for ""DDoS protection"" (""Standard"" incurs additional charges). Enable ""Service endpoints"" and select ""Microsoft.Storage"" under ""Services"" (this allows Microsoft Storage to be accessed from this virtual network). Keep the ""Firewall"" disabled (we can configure firewall as required later-on). Click the ""Create"" button. It may take couple of minutes for the new virtual network to be created. Once the new virtual network is created you can locate it under ""Virtual networks"" sub-section of the portal.",False
539426939,page,current,/x/ewAnI,Adding MySQL support to Sqoop running in Hadoop Cluster,"Sqoop is the tool used to ingest data from relational databases to a Hadoop cluster. For additional details on Sqoop and it's integration into the PickMe Big Data and Data Science platform, refer section . Default installation of Sqoop in HDInsight Hadoop clusters does not come with MySQL support pre-provisioned. Thus, follow the below steps to add MySQL batch ingestion support to the Sqoop running in HDInsight Hadoop cluster. Download the ""mysql-connector-java.jar"" file from the following drive location ( Note: Please ensure to use this specific version of the connector only, as other / latest MySQL connectors may fail to work properly in HDInsight Hadoop clusters). https://drive.google.com/drive/folders/1p94WJyAy46Kvt2TuGGt1WV_XRTS42Avr?usp=sharing SCP the above .jar file to the Edge node of the cluster, and from the Edge node, SCP the .jar file to all Worker Nodes of the cluster ( To find the worker node hostnames to SSH, refer sub-section Ambari under the section Access, Maintenance and Monitoring of HDInsight Cluster Components ). SSH to a specific Worker Node and issue the ""find"" command shown below. Note the file path to the mysql-connector-java.jar under the ""sqoop"" directory. Navigate to the ""sqoop/lib"" directory and issue a long list command. Note the soft-linked directory where the mysql-connector-java.jar is residing. Navigate to this soft-linked directory (i.e. in above screenshot /usr/share/java). You will notice that, although the soft-link is created, the actual mysql-connector-java.jar is not deployed in this directory. Copy the SCPed mysql-connector-java.jar to this soft-linked directory. Repeat the above steps to copy the mysql-connector-java.jar to the soft-linked directory in ALL worker nodes of the HDInsight Hadoop cluster. Login to the Ambari of the HDInsight Hadoop cluster ( See Ambari sub-section under the Access, Maintenance and Monitoring of HDInsight Cluster Components on how to login to Ambari). In Ambari portal, Click on ""Sqoop"". Click on ""CONFIGS"". Click on ""Advanced sqoop-env"". To the jdbc.drivers textbox enter ""com.mysql.jdbc.Driver"". Click ""Save"" button. When you press the ""Save"" button, Ambari may pop-up a change tracking pop-up box where you are requested to describe the change you did. If this pop-up appears, enter a description such as ""Enabled MySQL support in Sqoop"" and proceed. If any confirmation dialog is shown, confirm and proceed. Restart Sqoop service from Ambari portal (refer sub-section of for further details on this component restarting).",False
539459585,page,current,/x/AYAnI,Architecture,This section includes the PickMe Big Data and Data Science stack architecture.,False
539459589,page,current,/x/BYAnI,Architecture V1.0,"Diagram below illustrates the V1.0 of the Big Data and Data Science architecture at PickMe. Limitations of architecture V1.0: Scaling issues due to non Big Data technologies usage (MSSQL, SSIS etc.). Tight coupling. E.g. VTiger DB to CRM Rating API POST Dispersed across multiple DCs / Clouds. Stability issues with the current IaaS / PaaS providers (i.e. Dialog and Iguazio). Due to above limitations, PickMe will be migrating to a more scalable / stable / mature / Big Data ready architecture described in-detail in the section .",False
539459617,page,current,/x/IYAnI,Architecture V2.0,Diagram below illustrates PickMe's Data Core Architecture V2.0 and how it integrates with other sub-systems at PickMe. Link to the drawing: https://docs.google.com/drawings/d/1xAJGr7WK0OCEfrdwXrFMfMjnXMCyKZCEOF99icwim30/edit?usp=sharing,False
539459677,page,current,/x/XYAnI,Adding an Edge Node to a HDInsight Cluster,"Edge node is the gateway node to a HDInsight cluster. It is automatically provisioned with all the HDInsight cluster client tools which is required to interact with the HDInsight cluster. This section only includes deploying an Edge node to a single HDInsight cluster. Using these same steps, an Edge node must be installed to all 4 HDInsight clusters (i.e. Hadoop, HBase, IQR and Spark). Visit the link: https://docs.microsoft.com/en-us/azure/hdinsight/hdinsight-apps-use-edge-node#access-an-edge-node Click the ""Deploy to Azure"" button. In the deployment page, Select the ""Subscription"". Select the ""Resource Group"". Provide the ""Cluster Name"" of the cluster to which you need to install the edge node into (ensure that the cluster name is exactly the same that you provided during the cluster provisioning). Click on ""Edit template"" option. Click on ""applicationName"" variable. Provide a meaningful name for the edge node (ensure that the edge node name reflects that it is the edge node, and the cluster to which it is assigned to, for easy recognition). Scroll down and provide the VM size. VM size MUST BE the same size as cluster worker node size. Click the ""Save"" button. Check the ""I agree to the terms and conditions stated above"" checkbox. Click ""Purchase"" button. Edge node provisioning will take several minutes. Once successfully created the edge node will appear in the cluster overview page.",False
539459681,page,current,/x/YYAnI,Changing timezone of the HDInsight Cluster servers,"Follow the below steps to change the timezone of all cluster servers to Asia/Colombo timezone. SSH to the respective Edge node of the cluster (Refer sub-section under the section ). From the Edge node, again SSH into the respective cluster nodes (To find the cluster node hostnames to SSH, refer sub-section under the section ). To change the timezone of the respective server, run the following command in the terminal. Repeat these steps to change the timezone of all cluster servers including the Edge node.",False
539459687,page,current,/x/Z4AnI,Azkaban Installation on a HDInsight Cluster,"Azkaban is an open sourced workflow manager developed by LinkedIn and needs to be built from the source. The Git repository of Azkaban can be found in this link . Building Azkaban artifacts using the above repository is out-of-scope of this provisioning guide, and the latest Azkaban artifacts built using the instructions in above Git repository at the time of writing this provisioning document can be found in the following drive location. Location: https://drive.google.com/drive/folders/1qNZI5CUidPeKqUWfPbZa_3RJzKQz0Bxb?usp=sharing Follow the below steps to install Azkaban in Multi executor mode in a HDInsight cluster and for the required Azkaban artifacts indicated in these steps, refer the above drive location. Creating the required MySQL Schema Find your public IP address (you may simply type ""what is my ip"" in Google for this). Navigate to the Azkaban MySQL DB server overview page and do the following, Click on ""Connection security"". Add your public IP address as a new rule. Click ""Save"" button. Firewall rule may take several minutes to complete provisioning. Click on the MySQL server ""Overview"" page and note down the ""Server name"" and ""Server admin login name"". Open MySQL Workbench installed in your local machine and do the following, Click on ""+"" sign to create a new connection. Provide a meaningful name to the ""Connection Name"". Provide the previous step noted down ""Server name"" as the ""Hostname"" of the connection. Keep the port as ""3306"". Provide the previous step noted down ""Server admin login name"" as the ""Username"" of the connection. Click on ""Store in Vault"" button for ""Password"". Provide the MySQL admin login password and click ""OK"" button. Click on ""Test Connection"" button. If all steps up to now were successful, you should see the following connection successful message in the MySQL Workbench. Press ""OK"" button to close the pop-up. Click ""OK"" button in the ""Setup New Connection"" window to save the newly created connection in MySQL Workbench. Click on the newly created connection to connect to the Azkaban MySQL database from your local MySQL Workbench. Azkaban must be installed in thre e HDInsight clusters. Namely, Hadoop cluster, Spark cluster and HBase cluster (refer for additional details). For these three Azkaban installations, we need to create three MySQL databases as below (ensure to use meaningful names for the database names which represent the HDInsight cluster type for easier reference). Run the above create database queries in the MySQL Workbench query window one-by-one. Verify that each create database query executed successfully in the output window. Click the ""Refresh"" button in the schema navigator window of MySQL Workbench and the three new MySQL databases must appear in the navigator. Download the ""create-all-sql-x.xx.x.sql"" (where x.xx.x refers to the version) from the Azkaban artifact drive location mentioned at the beginning of this guide. Double click on a database name to make that database the active database in MySQL query editor. Click on ""SQL script open"" option in the MySQL Workbench. Locate the downloaded ""create-all-sql-x.xx.x.sql"" and ""Open"" this script file. Click the ""Execute"" option to execute the script on the selected MySQL database. Confirm that all steps in the script ran without any errors by reviewing the output console of the MySQL Workbench. Repeat running this ""create-all-sql-x.xx.x.sql"" script on all three MySQL databases. Uploading Azkaban Artifacts to the Cluster Servers Download the highlighted Azkaban artifacts from the drive location. These artifacts can be divided into two groups. Executor server provisioning artifacts, azkaban-exec-server-x.xx.x.tar.gz (x.xx.x reflects the version) az-hadoop-jobtype-plugin-x.xx.x.tar.gz (x.xx.x reflects the version) Web server provisioning artifacts, azkaban-web-server-x.xx.x.tar.gz (x.xx.x reflects the version) SCP all three tar artifacts to the Edge node of the respective cluster. From the Edge node, SCP the ""Executor server provisioning artifacts"" to all the Worker Nodes of the respective cluster and the ""Web server provisioning artifacts"" to one of the Head Nodes of the cluster. Provisioning the Azkaban Executor Server Follow the below steps for provisioning the Azkaban Executor Server. Repeat these steps in all Worker Nodes of the respective cluster. Navigate to the directory ""/usr/share/"". Create the directory ""azkaban"". Navigate inside the ""azkaban"" directory and copy the ""azkaban-exec-server-x.xx.x.tar.gz"" artifact inside this ""azkaban"" directory. Untar the ""azkaban-exec-server-x.xx.x.tar.gz"" artifact. Navigate inside the ""conf"" directory of the extracted artifact. You will see several property files inside this ""conf"" directory. Open the ""azkaban.properties"" file. In the ""azkaban.properties"" file change the following, Provide a meaningful name for the Azkaban instance. Provide a meaningful label for the Azkaban instance. Change the timezone to Asia/Colombo. Provide the absolute path to the ""conf/global.properties"" file (default conf file includes the relative path and it will not work as expected). Change the azkaban.webserver.url to the IP address of the Head Node where you will be deploying the Azkaban Web Server into. Provide the absolute path to the jobtype plugin directory (default conf file includes the relative path and it will not work as expected). In the ""azkaban.properties"" file change the following also, Set the mysql.host to the correct server hostname of the Azkaban MySQL DB provisioned under . Set the mysql.database to the correct MySQL database created for this cluster. Set the mysql.user to the MySQL DB admin username of the Azkaban MySQL DB server. Set the mysql.password to the MySQL DB admin password of the Azkaban MySQL DB server. Save and exit from the ""azkaban.properties"" file. Untar the ""az-hadoop-jobtype-plugin-x.xx.x.tar.gz"" in a temporary location (e.g. home directory of the SSH user), and locate the ""az-hadoop-jobtype-plugin-x.xx.x.jar"" file inside the extracted content. Navigate to ""/usr/share/azkaban/azkaban-exec-server-x.xx.x/plugins/jobtypes"" directory. Copy the ""az-hadoop-jobtype-plugin-x.xx.x.jar"" extracted into the temporary location, inside this ""/usr/share/azkaban/azkaban-exec-server-x.xx.x/plugins/jobtypes"" directory. Navigate inside the ""/usr/share/azkaban/azkaban-exec-server-x.xx.x/bin"" directory. Execute the ""start-exec.sh"" shell script as shown below. Open the Executor Server log file indicated below and verify that there are no error messages in Executor Server startup (you may ignore any warning messages). While still within the bin directory, execute the below curl command to activate and register the new Executor Server. You can issue the following ""SELECT"" query on the respective Azkaban MySQL database and verify that the new Executor Server is registered (i.e. a row for that particular executor should be visible in this table) and activated (active column should indicate 1). Provisioning the Azkaban Web Server Follow the below steps for provisioning the Azkaban Web Server. Only complete these steps in one Head Node of the respective cluster. Navigate to the directory ""/usr/share/"". Create the directory ""azkaban"". Navigate inside the ""azkaban"" directory and copy the "" azkaban-web-server-x.xx.x.tar.gz "" artifact inside this ""azkaban"" directory. Untar the "" azkaban-web-server-x.xx.x.tar.gz "" artifact. Navigate inside the ""conf"" directory of the extracted artifact. You will see several property files inside this ""conf"" directory. Open the ""azkaban.properties"" file. In the ""azkaban.properties"" file change the following, Provide a meaningful name for the Azkaban instance. Provide a meaningful label for the Azkaban instance. Change the web.resource.dir to the absolute path to the web directory (default conf file includes the relative path and it will not work as expected). Change the timezone to Asia/Colombo. Provide the absolute path to the ""conf/ azkaban-users.xml "" file (default conf file includes the relative path and it will not work as expected). Provide the absolute path to the ""conf/global.properties"" file (default conf file includes the relative path and it will not work as expected). In the ""azkaban.properties"" file change the following also, Set the mysql.host to the correct server hostname of the Azkaban MySQL DB provisioned under MySQL Server Provisioning for the usage of Azkaban Multi Executor Setup . Set the mysql.database to the correct MySQL database created for this cluster. Set the mysql.user to the MySQL DB admin username of the Azkaban MySQL DB server. Set the mysql.password to the MySQL DB admin password of the Azkaban MySQL DB server. Save and exit from the ""azkaban.properties"" file. Configure credentials for the users who need access to Azkaban Web UI in the ""azkaban-users.xml"" file (for more information refer this link ). Navigate inside the ""/usr/share/azkaban/azkaban-web-server-x.xx.x/bin"" directory. Execute the ""start-web.sh"" shell script as shown below. Open the Web Server log file indicated below and verify that there are no error messages in Web Server startup (you may ignore any warning messages).",False
539459691,page,current,/x/a4AnI,Mode BI connector installation on Interactive Query Cluster,"In order for the Mode BI to be able to connect to the Interactive Query Cluster Hive, follow the below steps. NOTE: Only a Mode BI ""Admin"" user can complete these steps. Login to the Mode BI portal and click on the account icon as indicated below. Click on ""Organization Settings"". Click on ""Connections"". Click on ""Connect a database"" button. From the dropdown select ""Hive"". Click on ""connect a new bridge"". Click ""Ubuntu"", as HDInsight cluster VMs are provisioned with Ubuntu OS. SSH into the HDInsight IQR cluster Edge node and copy-paste and execute below four commands one-by-one. Click ""Next >"" when all four commands are executed successfully in the IQR cluster Edge node. The new bridge connection will appear in the screen shown below within maximum couple of minutes. Click on the new bridge connector. In the Hive credentials page, Enter a ""Display name"". Enter the cluster Head Node hostname where Hive Server Interactive Process is running. HDInsight Hive port is 10001, thus specify the same as the ""Port"" value. Provide the database name followed by ;transportMode=http Select the Hive version. Select ""Limit access to this connection"" option (any required users can be added later on). Click ""Connect"" button. If all steps were successful, you will be navigated to the page where you are asked to add new users to access this connection. You may add any required additional users in Mode to be able to access this new connection. Or you can skip that step and complete the connection creation wizard (new users can be added later as well). IMPORTANT : If you need to access other Hive databases in the same IQR cluster, it is not required to install the bridge again. You can just select the existing bridge and proceed with the Hive credentials step mentioned above.",False
